Year,Fare,Fare2012
1904,0.05,1.26
1905,0.05,1.26
1906,0.05,1.26
1907,0.05,1.21
1908,0.05,1.26
1909,0.05,1.26
1910,0.05,1.21
1911,0.05,1.21
1912,0.05,1.17
1913,0.05,1.14
1914,0.05,1.13
1915,0.05,1.12
1916,0.05,1.04
1917,0.05,0.89
1918,0.05,0.75
1919,0.05,0.66
1920,0.05,0.57
1921,0.05,0.63
1922,0.05,0.68
1923,0.05,0.67
1924,0.05,0.66
1925,0.05,0.65
1926,0.05,0.64
1927,0.05,0.65
1928,0.05,0.66
1929,0.05,0.66
1930,0.05,0.68
1931,0.05,0.74
1932,0.05,0.83
1933,0.05,0.88
1934,0.05,0.85
1935,0.05,0.83
1936,0.05,0.82
1937,0.05,0.79
1938,0.05,0.80
1939,0.05,0.82
1940,0.05,0.81
1941,0.05,0.77
1942,0.05,0.69
1943,0.05,0.65
1944,0.05,0.64
1945,0.05,0.63
1946,0.05,0.58
1947,0.05,0.51
1948,0.10,0.94
1949,0.10,0.95
1950,0.10,0.94
1951,0.10,0.87
1952,0.10,0.85
1953,0.15,1.27
1954,0.15,1.26
1955,0.15,1.27
1956,0.15,1.25
1957,0.15,1.21
1958,0.15,1.17
1959,0.15,1.17
1960,0.15,1.15
1961,0.15,1.14
1962,0.15,1.12
1963,0.15,1.11
1964,0.15,1.10
1965,0.15,1.08
1966,0.20,1.40
1967,0.20,1.36
1968,0.20,1.30
1969,0.20,1.24
1970,0.30,1.75
1971,0.30,1.68
1972,0.35,1.89
1973,0.35,1.78
1974,0.35,1.61
1975,0.50,2.10
1976,0.50,1.99
1977,0.50,1.87
1978,0.50,1.74
1979,0.50,1.56
1980,0.60,1.65
1981,0.75,1.87
1982,0.75,1.76
1983,0.75,1.70
1984,0.90,1.96
1985,0.90,1.89
1986,1.00,2.06
1987,1.00,1.99
1988,1.00,1.91
1989,1.00,1.82
1990,1.15,1.99
1991,1.15,1.91
1992,1.25,2.01
1993,1.25,1.96
1994,1.25,1.91
1995,1.50,2.23
1996,1.50,2.17
1997,1.50,2.13
1998,1.50,2.10
1999,1.50,2.04
2000,1.50,1.98
2001,1.50,1.94
2002,1.50,1.90
2003,2.00,2.48
2004,2.00,2.40
2005,2.00,2.33
2006,2.00,2.27
2007,2.00,2.21
2008,2.00,2.13
2009,2.50,2.67
2010,2.50,2.63
2011,2.50,2.55
2012,2.50,2.50
